AWC_CODE,StreamName,Shape_Leng,Latitude,Longitude
101-75-10300-2038, ,1083.113333,56.29059601,-130.7839508
106-41-10300,Red Bay Creek,2150.22674,56.27108765,-133.3336029
103-80-10420, ,746.06251,55.69900894,-133.3639526
107-20-10010,Anan Creek,2962.861674,56.18280792,-131.8908386
103-60-10810,Little John Creek,446.0916142,55.34481812,-132.9633942
109-44-10370, ,4651.056875,56.85005569,-134.1346436
101-30-10600-2008,*Dicks Creek,8117.775399,55.1978302,-130.4563141
101-90-10800, ,1157.139874,55.68241501,-132.0426941
111-50-10500-2003,Montana Creek,9346.90373,58.36526871,-134.5983582
113-41-10370, ,1174.473904,56.94847107,-135.2298584
111-16-10350,*Swan Cove S. Creek,1063.018862,57.99190521,-134.3447723
113-31-10020, ,1463.526812,56.82676697,-135.3683319
102-30-10630, ,296.7470648,55.05585861,-132.2840118
115-31-10430, ,4288.868858,58.90822601,-135.3260651
111-16-10320, ,1669.776842,57.98247147,-134.3329315
113-11-10070, ,579.646039,56.27346802,-134.8113861
114-33-10230-2005, ,4303.058656,58.0853653,-135.8338318
110-11-10030,Twelvemile Creek,8103.336736,56.97818756,-133.0694275
111-50-10750,Peterson Creek,5714.66438,58.29979706,-134.6863403
114-60-10800-2004, ,18011.5318,58.39103699,-136.3171082
114-34-10100,Humpback Creek,16129.58067,58.09383011,-135.5792542
101-30-10300-2011, ,600.1266543,55.38817215,-130.3757324
101-80-10660, ,1244.286215,55.94922256,-131.8439331
109-10-10110, ,215.4667583,56.37789536,-134.7311707
106-30-10670-2004-3017, ,5976.201607,56.00897217,-132.8848419
106-42-10100,Kah Sheets Creek,4058.720263,56.53049088,-133.1424866
101-90-10942, ,258.5353073,55.75411987,-131.8943634
105-20-10080, ,1929.682967,56.3066864,-133.9941711
110-32-10070,Spruce Creek,815.1486668,57.5930748,-133.3395233
107-40-10470-2050, ,2519.802315,56.24764252,-131.7021179
107-30-10836, ,317.2002798,56.20596695,-132.4544525
115-33-10200-2009-3008, ,31.99854378,59.37431335,-135.6378174
109-20-10230, ,480.1459726,56.97271347,-134.7616119
111-50-10500,Mendenhall River,10598.55617,58.34471893,-134.6218719
115-20-10070,Johnson Creek,755.8495462,58.82246017,-135.0010529
101-30-10750,Sockeye Creek,241.102043,55.097435,-130.7101135
113-55-10060-2009-3002, ,473.8707289,57.55029678,-135.4511719
113-59-10035, ,609.0481598,57.49955368,-134.9199371
115-10-10430, ,3725.800719,58.61209488,-135.2108154
103-25-10230, ,1624.111182,55.27765656,-132.6656036
107-20-10190, ,1792.191236,55.98161697,-132.2044373
112-21-10090, ,1321.597959,57.36756134,-134.9628906
106-42-10110, ,2395.781073,56.53433228,-133.1358185
103-25-10700, ,1279.702144,55.17456055,-132.8276215
115-32-10250,Chilkat River,3198.796273,59.39409256,-135.8665771
101-80-10600, ,852.4901659,55.90179062,-131.8356323
109-62-10170, ,2478.614996,56.43317413,-134.0461884
102-30-10670,Kegan Creek,612.6435254,55.02169418,-132.1716156
111-40-10890,Lawson Creek,228.6868804,58.28653336,-134.4125214
108-40-10020,Bussy Creek,394.1003436,56.79025269,-132.5072327
101-15-10500-2061,Texas Creek,3414.634109,56.02674103,-130.0735626
103-50-10660, ,1294.877875,55.38268661,-133.5518799
101-80-10030,Cow Creek,1755.42838,55.93471146,-131.3811188
103-50-10750, ,1557.228299,55.41173553,-133.5222931
103-40-10670, ,2689.177416,55.04700089,-133.0863037
111-32-10320-2016-3005, ,843.7417681,58.50660706,-133.853714
101-30-10600,Marten River,11094.66032,55.14832306,-130.5390625
114-73-10190, ,1363.76973,58.61808777,-136.3947296
113-57-10010, ,7761.429517,57.62863159,-135.6845245
101-11-10790,Fillmore Creek,3785.950682,54.94533157,-130.4735413
103-50-10410, ,660.0677459,55.27142334,-133.2384033
101-15-10390-2004,North Fork Soule River,6002.10951,55.83540726,-130.1845398
101-23-10190, ,338.8653639,54.99732971,-130.8856201
103-40-10220, ,1779.297654,55.22376251,-132.953186
103-70-10150, ,2217.045106,55.54035568,-133.3251953
103-60-10470-2010, ,2544.251282,55.54950714,-133.0753784
113-55-10100, ,298.1349648,57.51465988,-135.5879822
106-43-10190-2007, ,1784.07448,56.63237,-133.2477722
103-60-10650,Doyle Creek,1413.178737,55.41798019,-133.0339966
113-34-10050, ,434.358702,56.75743484,-135.0070801
103-21-10180, ,2581.634324,55.08440399,-132.4856262
113-55-10010,*Finger River,5980.575908,57.65127182,-135.5249481
